title,text,subject,is_fake_news
"Trump on Twitter (Dec 18) - Congressional Races, train accident, tax cuts","The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump, @realDonaldTrump and @POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.  @realDonaldTrump : - Remember, Republicans are 5-0 in Congressional Races this year. The media refuses to mention this. I said Gillespie and Moore would lose (for very different reasons), and they did. I also predicted  “I” would win. Republicans will do well in 2018, very well! @foxandfriends [0623 EST] - Ivanka Trump will be interviewed on @foxandfriends. [0642 EST] - The train accident that just occurred in DuPont, WA shows more than ever why our soon to be submitted infrastructure plan must be approved quickly. Seven trillion dollars spent in the Middle East while our roads, bridges, tunnels, railways (and more) crumble! Not for long! [1341 EST] - My thoughts and prayers are with everyone involved in the train accident in DuPont, Washington. Thank you to all of our wonderful First Responders who are on the scene. We are currently monitoring here at the White House. [1351 EST] - Our deepest sympathies and most heartfelt prayers are with the victims of the train derailment in Washington State. We are closely monitoring the situation and coordinating with local authorities... bit.ly/2Bail99 [1435 EST] - Over the past 11 months, I have travelled tens of thousands of miles, to visit 13 countries. I have met with more than 100 world leaders and everywhere I traveled, it was my highest privilege and greatest honor to represent the AMERICAN PEOPLE! bit.ly/2BajKwn [1519 EST] - When the American People speak, ALL OF US should listen. Just over one year ago, you spoke loud and clear. On November 8, 2016, you voted to MAKE AMERICA GREAT AGAIN! bit.ly/2Ba2kQr [1528 EST] - As the world watches, we are days away from passing HISTORIC TAX CUTS for American families and businesses. It will be the BIGGEST TAX CUT and TAX REFORM in the HISTORY of our country! bit.ly/2BbAjI6 [1540 EST] - 70 Record Closes for the Dow so far this year! We have NEVER had 70 Dow Records in a one year period. Wow! [1725 EST] - With the strategy that I announced today, we are declaring that AMERICA is in the game and AMERICA is DETERMINED to WIN!OUR FOUR PILLARS OF NATIONAL SECURITY STRATEGY: bit.ly/2BdrOfJ [1849 EST] - Together, our task is to strengthen our families, to build up our communities, to serve our citizens, and to celebrate AMERICAN GREATNESS as a shining example to the world.... bit.ly/2Bdsjq7 [1954 EST] -- Source link: (bit.ly/2jBh4LU) (bit.ly/2jpEXYR) ",politicsNews,no
White House expects Congress to waive spending cuts triggered by tax overhaul,"WASHINGTON (Reuters) - The White House expects the U.S. Congress to soon waive a rule known as “Paygo” that could trigger deep spending cuts in areas such as Medicare and agriculture in order to cover the costs of the recently passed tax overhaul, a White House official said on Wednesday.  Congress will likely waive the rule, which requires the Senate to find offsets for the large tax cuts in the bill, through the spending resolution it must soon pass in order to keep the government open, the official added. The official said the Internal Revenue Service, the country’s tax agency, can immediately begin implementing changes called for in the $1.5 trillion overhaul of the U.S. tax code and does not need to wait for President Donald Trump to sign the bill into law. ",politicsNews,no
U.S. House approves $81 billion for disaster aid,"WASHINGTON (Reuters) - The U.S. House of Representatives on Thursday approved an $81 billion bill to help widespread recovery efforts from hurricanes and wildfires this year. By a vote of 251-169, the House passed the measure to help Puerto Rico, the U.S. Virgin Islands and states rebuild following the natural disasters. The bill now goes to the Senate where it is expected to be approved this week. ",politicsNews,no
Factbox: Big-ticket items at center of Congress spending bill,"(Reuters) - The U.S. Congress on Thursday approved a temporary funding bill to prevent federal agencies from shutting down at midnight Friday when existing money was set to expire. The following are the major items that were debated on the legislation that President Donald Trump is expected to sign into law: The Friday midnight deadline for action was the result of the Republican-controlled Congress failing to pass any of the regular appropriations bills for the fiscal year that began Oct. 1. Instead, the government has been operating on a series of temporary measures. This newest stopgap bill continues funding for government operations through Jan. 19, giving lawmakers several weeks to work out a spending bill that would pay for agency activities through Sept. 30, the end of the current fiscal year.  House of Representatives conservatives failed in their bid to attach a major defense spending increase that would fund the Pentagon through September. Instead, Congress agreed to fund the military through Jan. 19, like most other programs. But in a move to attract support, a $4.7 billion increase was included to be used for missile defense and ship repair. Democrats and Republicans will continue negotiations on higher funding for both military and non-military programs. An $81 billion disaster aid bill was going to be attached to the government funding bill. Instead, the House approved it as a stand-alone bill, only to see the Senate put off action until at least next month. It would build on about $52 billion already provided to Puerto Rico, the U.S. Virgin Islands and several states hit by severe hurricanes, wildfires or other natural disasters. Democrats want to do more for Puerto Rico and some Republicans worry about the mounting costs of disaster aid. The Children’s Health Insurance Program, which helps provide medical care to nearly 9 million children in low-income families, will get $2.85 billion to cover expenses through March as lawmakers seek a more permanent solution. Senators put off until early next year their bid to maintain healthcare subsidies for low-income people participating in the Affordable Care Act, also known as Obamacare. Many House Republican lawmakers dislike the idea. The National Security Agency’s warrantless internet surveillance program under the Foreign Intelligence Surveillance Act will be extended through Jan. 19 as lawmakers try to reconcile competing versions of such legislation in the House and Senate.  Legislation to protect “Dreamers” from deportation was not included, despite Democrats’ push to resolve the issue by year’s end. It was a major disappointment for the Congressional Hispanic Caucus and immigration advocacy groups. But negotiators are still trying to reach a deal on helping immigrants, many from Mexico and Central America, brought to the United States illegally as children. The issue is expected to come back to life in early 2018.   ",politicsNews,no
 The Internet Lights Up After The Pentagon Accidentally Retweets A Call For Trump To Resign,"On Thursday, the Pentagon s official Twitter account retweeted a post from @ProudResister calling for Donald Trump to resign, then quickly deleted it, saying later that it was in  error  and we totally believe them.Proud Resister tweeted about Alabama Senate candidate Roy Moore s scandal, then touched on Al Franken s, then moved on to Donald Trump s. Resister called on all of the aforementioned to resign from office.The solution is simple Roy Moore: Step down from the race.Al Franken: Resign from congress.Donald Trump: Resign from the presidency.GOP: Stop making sexual assault a partisan issue. It s a crime as is your hypocrisy.  PROUD RESISTER ? (@ProudResister) November 16, 2017Here s a screen capture of the retweet which has since been deleted. Pentagon spokesman Col. Rob Manning explained the retweet in a statement saying that an authorized operator of the Defense Department s official Twitter site  erroneously retweeted content that would not be endorsed by the Department of Defense. The operator caught this error and immediately deleted it. Chief Pentagon spokeswoman Dana White tweeted the same explanation.An authorized operator of the @DeptofDefense s official Twitter site erroneously retweeted content that would not be endorsed by the Department of Defense. The operator caught this error and immediately deleted it.  Dana W. White   DoD (@ChiefPentSpox) November 16, 2017One Twitter user suggested giving the Pentagon employee a raise.Give them a raise  Jake Smail (@BiggieSmails72) November 16, 2017Too bad. It was the only good tweet ever to appear on this feed.  kmd | ??? | no more nazis please. (@KiraOfTheSea) November 16, 2017I'm not mad at em' ???  ((VETERAN)) (@VETERANUSA1) November 16, 2017""erroneously""..sure, sure. #ResignTrump  Usagi Tsukino (@SailorDemocracy) November 16, 2017LOL don't lie  jordanlarae (@jordanlarae) November 16, 2017It was your most honest twit in a very very very long time. Maybe ever  spencer (@SpencerH8sTwitr) November 16, 2017Bwaaaahaaaa  stephanie bullen (@TabbyChaps) November 16, 2017Trump supporters are calling for the person who operated the account to be fired. We, on the other hand, would like to buy him or her dinner and drinks.While many Twitter profiles contain a disclaimer saying that retweets do not constitute an endorsement, the Pentagon account, @DeptofDefense, does not.As for the Al Franken scandal, his accuser, Leeann Tweeden, accepted his apology. Roy Moore has tried to compare his scandal to Franken s inappropriate behavior, but only one of the men admitted they were wrong, called for an investigation, and apologized. Only one man perved on high school girls, one as young as 14-years-old. We re not justifying Franken s behavior. We re simply saying that Moore, a staunch right-wing Christian, has failed to admit to any wrongdoing, despite the fact that there are nine accusers and at least 30 people to corroborate the alleged victims  stories. At least Franken admitted what happened and he took the steps to immediately address the accusations.Photo by Molly Riley-Pool/Getty Images",News,yes
McConnell happier with Trump tweets after tax victory,"WASHINGTON (Reuters) - A summer spat between President Donald Trump and Senate Majority Leader Mitch McConnell has turned into a warm embrace - and all it took was a sweeping rewrite of the U.S. tax code.     For months, McConnell urged the president to lock his cell phone in a drawer and retire his signature tweets that have Washington abuzz on a daily basis. He even chided Trump for having “excessive expectations” of Congress. For his part, Trump scorched McConnell in August for failing to repeal Obamacare, sidestepped reporters’ questions over whether the senator should retire and tweeted, “Mitch, get to work.” But with Congress’ passage of the tax bill this week, giving Trump his first major legislative victory, the president tweeted on Wednesday, “I would like to congratulate @SenateMajLdr on having done a fantastic job.” McConnell joined in the love fest on Friday, or at least what constitutes a love fest for the understated senator. “With regard to the president’s tweeting habits, I haven’t been a fan until this week. I’m warming up to it,” McConnell quipped. Still, he reined in reporters who asked whether he might visit Trump in Mar-a-Lago, the president’s Florida resort, over the Christmas and New Year holidays. McConnell laughed and said he would instead be attending a Dec. 30 football game in Jacksonville, Fla. “That’s the closest I’ll get.” ",politicsNews,no
Senator Cornyn trying to get Big Corn behind U.S. biofuels reform,"(Reuters) - Senator John Cornyn, the No. 2 Senate Republican, is trying to win support from the Midwest corn lobby for a broad legislative overhaul of the nation’s biofuels policy, according to sources familiar with the matter. The effort comes as President Donald Trump’s White House mediates talks between the rival oil and corn industries over the Renewable Fuel Standard, which requires oil refiners to blend increasing amounts of corn-based ethanol and other biofuels in the nation’s fuel supply every year. Oil refiners say the regulation costs them hundreds of millions of dollars a year and is threatening to put a handful of the nation’s refineries out of business. Ethanol interests have so far refused to budge on proposals to change it. Cornyn “is working hard to unify all stakeholders in a consensus effort to reform the Renewable Fuel Standard,” an aide to the senator told Reuters. The aide, who asked not to be named, did not provide details. Cornyn, of Texas, the U.S. state that is home to the most oil refineries, is part of the Senate’s leadership team, responsible for securing the votes needed to pass the Republican party’s legislative agenda. Two lobbyists for the oil refining industry said Cornyn was having some success cobbling together a coalition of lawmakers and stakeholders around a potential RFS reform bill that could be dropped early next year. However, similar efforts to unify these rival factions have fallen flat in the past. Any such effort would need the buy-in of legislative backers of the ethanol industry, like Republican Senators Chuck Grassley and Joni Ernst of Iowa, the top-producing state for corn. Officials for the senators did not respond to repeated requests for comment. Both Grassley and Ernst have previously repeatedly expressed their intention to defend the RFS in its current form. The White House has been hosting negotiations between both sides of the issue over short-term remedies that can provide relief to refiners struggling with the existing regulation. The refining industry says compliance now costs it hundreds of millions of dollars a year, and threatens to put some refineries out of business. Refineries that do not have adequate facilities to blend ethanol into their gasoline must purchase blending credits, called RINS, from rivals that do. RIN prices have risen in recent years as the amount of biofuels required under the RFS has increased. Refineries that buy RINs include Philadelphia Energy Solutions and Monroe Energy, both of Pennsylvania, and Valero Energy Corp of Texas. Valero said RINs cost it around $750 million last year, though there are competing arguments over whether refiners pass along those costs. Senator Ted Cruz, also of Texas, last week sent a proposal to the White House to cap the price of RINs at 10 cents each, a fraction of the current price. The proposal was widely rejected by the ethanol industry. The ethanol industry has said in the past that placing caps on the credits was a non-starter, and has instead argued for policies to increase volumes of ethanol in the U.S gasoline supply. The industry claims this would boost supplies of the credits, lowering their prices. Prices of renewable fuel credits have fallen in recent weeks on reports of the discussions in Washington. The price hit 68 cents on Wednesday, nearing a seven-month low, according to traders and Oil Price Information Services. The White House has not yet commented on Cruz’s proposal. The RFS was introduced by former President George W. Bush as a way to boost U.S. agriculture, slash energy imports and cut emissions. It has since fostered a market for ethanol amounting to 15 billion gallons a year. The refining industry has pressed the Trump administration repeatedly to adopt reforms that would lower the credit costs or otherwise ease the burden on refineries, but the ethanol industry has successfully defeated those efforts so far. ",politicsNews,no
 Trump Spent The Night Retweeting A White Supremacist Convicted Criminal,"While most of us were sleeping, Donald Trump spent his night retweeting a white supremacist who was convicted in the UK for harassing a Muslim woman in front of her two young children. Jayda Fransen was arrested in October during a neo-Nazi rally for violating terms of her bail. Fransen, Deputy Director of Britain First is thrilled to have been retweeted three times by the so-called president of the United States. Trump even retweeted a video of a boy on crutches being murdered, just in case you haven t had enough gore in your life.The former reality show star s retweets even stunned Paul Joseph Watson, Infowars editor-at-large who suggested the move was  not great optics. Yeah, someone might want to tell whoever is running Trump's Twitter account this morning that retweeting Britain First is not great optics.   Paul Joseph Watson (@PrisonPlanet) November 29, 2017Even Infowars thinks Trump went too far. Let that sink in for a moment.Here s a screen capture of the snuff film Trump retweeted.Fransen was super excited that Trump shared her anti-Muslim videos to his 44 million followers and went all caps in her tweet. THE PRESIDENT OF THE UNITED STATES, DONALD TRUMP, HAS RETWEETED THREE OF DEPUTY LEADER JAYDA FRANSEN S TWITTER VIDEOS!  Fransen tweeted.  DONALD TRUMP HIMSELF HAS RETWEETED THESE VIDEOS AND HAS AROUND 44 MILLION FOLLOWERS! GOD BLESS YOU TRUMP! GOD BLESS AMERICA! THE PRESIDENT OF THE UNITED STATES, DONALD TRUMP, HAS RETWEETED THREE OF DEPUTY LEADER JAYDA FRANSEN'S TWITTER VIDEOS! DONALD TRUMP HIMSELF HAS RETWEETED THESE VIDEOS AND HAS AROUND 44 MILLION FOLLOWERS! GOD BLESS YOU TRUMP! GOD BLESS AMERICA! OCS @JaydaBF @realDonaldTrump pic.twitter.com/BiQfQkTra9  Jayda Fransen (@JaydaBF) November 29, 2017Trump cult member Piers Morgan was shocked by the retweets, too.  Good morning, Mr President @realDonaldTrump   what the hell are you doing retweeting a bunch of unverified videos by Britain First, a bunch of disgustingly racist far-right extremists?  he tweeted.  Please STOP this madness & undo your retweets. Good morning, Mr President @realDonaldTrump   what the hell are you doing retweeting a bunch of unverified videos by Britain First, a bunch of disgustingly racist far-right extremists? Please STOP this madness & undo your retweets.  Piers Morgan (@piersmorgan) November 29, 2017The video of the man being pushed off of a rooftop was filmed in Egypt during the 2013 overthrow of president Mohamed Morsi and the man complicit of the crime was hanged after being found guilty, according to BuzzFeed News.When British Labour Party politician Jo Cox was murdered by a far-right terrorist, he shouted,  This is for Britain ,  keep Britain independent , and  Britain first  as he attacked her.Cox s husband responded to Trump s retweets, writing,  Trump has legitimised the far right in his own country, now he s trying to do it in ours. Spreading hatred has consequences & the President should be ashamed of himself. Trump has legitimised the far right in his own country, now he s trying to do it in ours. Spreading hatred has consequences & the President should be ashamed of himself.  Brendan Cox (@MrBrendanCox) November 29, 2017Trump just promoted a woman who was convicted of a hateful act in Britain, much to the distress of a widowed man whose wife s murder shocked the world. Either Trump doesn t know how to Google or he s a hateful bigot   or both. You choose.Photo by Zach Gibson   Pool/Getty Images.",News,yes
 WATCH: Retired Alabama Cop: We Were Told To Keep Roy Moore Away From High School Cheerleaders,"It seems that Republican candidate for Attorney General Jeff Sessions  vacated Senate seat Roy Moore s proclivity for teenage girls was well known decades ago in Gadsden, Alabama   even within the courthouse where he worked as an Assistant District Attorney, and even within the police department. Retired police officer Faye Gary spoke with MSNBC and said of the situation: The rumor mill was that he liked young girls, and   we were advised that he was being suspended from the mall because he would hang around the young girls that worked in the stores and   really got into a place of where they say he was harassing. We were also told to watch him at the ball games, and make sure that   he didn t hang around the cheerleaders. Faye Gary went on to say that she originally thought that Moore liked, perhaps, women in their 20 s   you know, LEGAL younger women. But, no. It was actually teenagers the old creep liked. Gary also said that Moore s liking for little girls   was a known fact,  while speaking with the New York Times, going on to say,  It was treated like a joke. That s just the way it was. Of course, Roy Moore has long been a controversial character. He was removed from the Alabama Supreme Court twice, both times refusing to follow the law. The first time it was over his refusal to removed a 5,000+ pound monument of the Ten Commandments from the Supreme Court building, and the second time for ordering officials around the state to refuse to comply with the United States Supreme Court s ruling in Obergefell v. Hodges, which legalized marriage equality nation wide. He has also said that Representative Keith Ellison should not be allowed to serve in Congress because he is a Muslim. In other words, this is a man who has no regard for the rule of law, and is likely a child molester to boot.In short, the voters of Alabama need to reject this bigoted extremist, and, if they don t, they ll be sending a message to the rest of the nation: a child molester is much better to be seated in the Senate than a Democrat.Watch Faye Gary s comments on the matter below:Featured image via Drew Angerer/Getty Images",News,yes
 Former Obama Photographer Takes Trolling Trump To A Whole New Level (TWEETS),"By now you would most likely be familiar with the story of President Trump taking a pass at being named Time Magazine s Person of the Year, a rather prestigious honor that Trump has a bizarre fixation with and one that is highly unlikely to be bestowed upon him again any time in the near future following his nomination last year.For those of you not in the know, Donald Trump tried to claim on Friday that he turned down the chance to be selected as Time s  Person of the Year,  as he would be required to give an interview and do a photo shoot. Time Magazine called to say that I was PROBABLY going to be named  Man (Person) of the Year,  like last year, but I would have to agree to an interview and a major photo shoot. I said probably is no good and took a pass. Thanks anyway!  Trump tweeted.Time Magazine called to say that I was PROBABLY going to be named  Man (Person) of the Year,  like last year, but I would have to agree to an interview and a major photo shoot. I said probably is no good and took a pass. Thanks anyway!  Donald J. Trump (@realDonaldTrump) November 24, 2017The only flaw with the President s claim was that not a single word of it was remotely true and he was called on it too, first by Time magazine, who were quick to point out that that s not how the selection or announcement process even works, something Trump should already be aware of, and then by Time s chief content officer, Alan Murray, who tweeted that none of what the President had tweeted was at all factual.The President is incorrect about how we choose Person of the Year. TIME does not comment on our choice until publication, which is December 6.  TIME (@TIME) November 25, 2017Amazing. Not a speck of truth here Trump tweets he 'took a pass' at being named TIME's person of the year https://t.co/D6SJgyTpcY  Alan Murray (@alansmurray) November 25, 2017Total BS https://t.co/jrUPRbLCGQ  Alan Murray (@alansmurray) November 25, 2017However, it didn t end there for Trump. Peter Souza, Barack Obama s former official White House photographer and an ardent Trump troll, took to Instagram to taunt President Trump. Souza shared a compilation of images consisting of 15 Time covers featuring the Obamas, originally posted by an account by the name of @michelleandbarack. To rub a little more salt into Trump s open and possibly septic wound, Souza also added the caption Someone has a lot of catching up to do  to his post, as well as hashtags such as #TwoTerms, #ThankYouObama, #ComeBackBarack, and #MyPresidentWasBlack. Someone has a lot of catching up to do. #Repost @michelleandbarack   #MichelleAndBarack #Forever44 #BarackObama #MichelleObama #MaliaObama #SashaObama #Bo #Sunny #POTUS #FLOTUS #WhiteHouse #ObamaFoundation #ThankYouObama #TwoTerms #Hope #ComeBackBarack #MyPresidentWasBlack #NeverForget #Hawaii #Chicago #WashingtonDC #MakeAmericaGreatAgainA post shared by Pete Souza (@petesouza) on Nov 25, 2017 at 12:51pm PSTSouza often trolls the President by using contrasting photos he took in the past that show Obama s time in office in a far more positive light. When someone as thin-skinned as Donald Trump has such a dislike for his predecessor, that s going to sting a little.Featured image via Chris Hondros/Getty Images",News,yes
